Date,Cars,Motorcycles,Light Goods Vehicles,Heavy Goods Vehicles,Buses & coaches,Other vehicles,Total,All ULEVs,ULEV cars,"Plug-in Grant Eligible Cars and Vans 5,6","Plug-in Non Grant Eligible Cars and Vans 5,6"
Aug-19,91.9,7.9,23.5,2.6,0.3,4.1,130.2,4.5,4,3.4,0.9
Sep-19,341.4,13.8,41.8,4.5,1,5.4,407.9,13.6,12.8,7.9,5.2
Oct-19,143.4,8,25.9,5,0.7,4.5,187.6,6.9,6.2,3.4,3.1
Nov-19,157.2,7,26.4,4.7,0.7,3.9,199.8,9.7,8.8,5,4.2
Dec-19,149.3,5.8,26.3,3.6,0.7,3.2,189,10.1,9.3,5.4,4.4
Jan-20,147.1,6.9,23.5,3.3,0.4,3.5,184.7,9.5,8.7,4.5,4.6
Feb-20,78.5,5.6,14,2.3,0.4,3.1,103.8,5,4.4,2.7,2
Mar-20,254.1,13.6,31.3,4.7,1,5.8,310.4,19.2,18.2,11.2,7.5
Apr-20,4.2,1.7,3,1,0.1,2.2,12.2,1.7,1.4,1,0.6
May-20,20.5,5.4,7.6,1.2,0.1,2,36.6,3.4,3.1,1.9,1.3
